"number","title","state","labels","bug_classification","classification_basis","created_at","updated_at","closed_at","body"
"86","After BCU blocks system reboot the uninstall progress window stops updating and uninstallers stop running","open","bug; low priority","bug","upstream bug label","2017-08-06 12:45:25","2023-10-10 20:32:06","",""
"162","Empty folder after official uninstaller completion is not detected as a leftover","open","junk/app detection; low priority","bug-like","manual triage from title/body","2018-01-07 18:36:46","2021-05-06 04:27:38","","Hey, would be nice to detect empty folders which was left after official uninstallation.

For example, I've installed Supersonic Sled NVIDIA demo, then uninstalled it.
Official uninstaller clears the demo folder from the C:\Program Files (x86)\NVIDIA Corporation\NVIDIA Demos, but this parent folder is left empty and it's not detected as a leftover.

Maybe, leftovers search could have a pre-uninstall pass to be able to detect such cases?
Like Analyse app > uninstall it > analyse leftovers with consideration of the initial analysis.

This additional pass could be probably used in some other cases to improve leftovers detection."
"182","Search FileExts for registry junk / Some uTorrent registry leftovers are missed at the leftovers search","open","junk/app detection; low priority","bug-like","manual triage from title/body","2018-05-05 22:25:23","2021-05-06 04:27:38","","Hey, I recently removed uTorrent and noticed some leftovers in registry were not found:

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Classes\.torrent\OpenWithProgids
Value name: uTorrent

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Classes\bittorrent\DefaultIcon

Value with default name and data:
C:\Users\[my user name]\AppData\Roaming\uTorrent\maindoc.ico

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Classes\bittorrent\shell\open\command

Value with default name and data:
""C:\Users\[my user name]\AppData\Roaming\uTorrent\uTorrent.exe"" ""%1"" /SHELLASSOC

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.torrent\OpenWithList

Value with name ""a"" and data ""uTorrent.exe""

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.torrent\OpenWithProgids

Value with name ""uTorrent""
"
"198","Inno Setup leftovers","open","junk/app detection; low priority","bug-like","manual triage from title/body","2018-06-27 23:39:17","2021-05-06 04:26:50","","Hey, 

After uninstalling Inno Setup, I've noticed BCU didn't found any leftovers, but I can see this registry key which looks like a leftover:

HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Jordan Russell

It has only 1 subkey:
HKEY_USERS\S-1-5-21-2081619299-1437623788-1181410189-1001\Software\Jordan Russell\Inno Setup"
"220","BCUnistaller can not be used in safe mode in windows","open","bug","bug","upstream bug label","2018-10-09 12:30:48","2023-03-04 20:31:48","","> Tested in windows 10"
"314","BCU can't find eclipse ide for java","open","junk/app detection","bug-like","manual triage from title/body","2021-09-05 09:29:43","2022-02-07 16:29:39","","BCU can't find eclipse ide for java"
"316","Does not calculate usage of wsl1 or wsl2 installs","open","junk/app detection","bug-like","manual triage from title/body","2021-09-20 13:00:31","2022-02-07 16:29:25","",""
"325","Doesn't detect Wave browser to uninstall","open","junk/app detection","bug-like","manual triage from title/body","2021-11-01 16:02:06","2022-02-07 16:26:59","","See https://wavebrowser.com/"
"388","why not remove persist scoop when uninstalling package","open","enhancement; junk/app detection","bug-like","manual triage from title/body","2022-07-05 20:36:34","2022-07-18 19:02:41","","why not remove persist scoop when uninstalling package like `scoop uninstall -p <manifest>`?"
"414","Creating System Restore Point Leads to App Crash","open","cant-reproduce","bug-like","manual triage from title/body","2022-09-30 09:50:40","2023-03-04 15:05:59","","Hi there,

Running version 5.4.0.0 on Windows 11

App is crashing/exiting during the system restore point creation step of an uninstallation (""Bitdefender VPN"" in case it's relevant).

Wondering if I should simply try reinstalling BCU or if there's further troubleshooting steps?

Thanks in advance, 
Alex "
"418","Add GOG Galaxy support / BC Uninstaller doesn't detect my games from GOG Galaxy","open","junk/app detection","bug-like","manual triage from title/body","2022-10-23 10:03:45","2023-10-01 14:39:36","",""
"435","Not fully uninstalling windscribe desktop version","open","bug; cant-reproduce","bug","upstream bug label","2022-12-14 20:19:44","2023-03-03 20:13:34","","As the title says it is not uninstalling windscribe fully. Cannot figure out what it is leaving behind either. When I uninstall it, the option is still left in BCUninstallers list. I click uninstall again and it goes through the same steps, but still it remains in the list. It is also causing errors in event viewer, so that is how I know it's not fully uninstalled either."
"436","Interesting application relationship detection issue","open","bug; cant-reproduce","bug","upstream bug label","2022-12-27 14:07:38","2023-03-03 20:12:57","","Hi, first off I love BC Uninstaller, I seriously think it's my favorite application for Windows. Great stuff here and thank you for all the work that goes into it :)

I have had this happen with a few random applications before in the past with no real pattern in their category. When chosen to uninstall it will proceed to the step where you can kill potential blocker apps, and the list will be pretty much everything running at the moment in Windows. Continuing past that with no killing everything proceeds smoothly  and app is uninstalled.

When searching for leftover crap I am presented with a list of the regular items BC-U finds like Start Menu lnks, prefetch data, and what appears to be a nice sized chunk of my Windows Registry; all check marked for removal with a confidence rating of: Good.

This very well could be completely a problem with the application(s) themselves and how they react with BC-U, etc. etc. But I thought I'd bring this to attention in case it hasn't been observed before and since it is potentially a loaded gun for a unsuspecting user.

I exported the list here for you and if there is anything else I could give you logs related I'd be happy to do so. I failed to screen grab but might be able to replicate this once more. 

My system:
Razer Blade Stealth 13"" 2020 model
i7-1065G7 4C-8T CPU
16GBDDR4
WIN 11 Pro x64
[New BCUninstaller Junk Export.txt](https://github.com/Klocman/Bulk-Crap-Uninstaller/files/10308586/New.BCUninstaller.Junk.Export.txt)

Cheeers! "
"443","VMWare uninstaller is only shown when you show protected elements","open","junk/app detection; cant-reproduce","bug-like","manual triage from title/body","2023-02-02 01:09:34","2023-10-01 14:34:50","","the program , does not detect vmware player in the list of installed programs , the location of vmware player is in the x86 program files folder, Im running windows 11"
"445","Logitech G Hub uninstallation does not detect leftover files","open","junk/app detection; low priority","bug-like","manual triage from title/body","2023-02-04 11:14:03","2023-03-04 20:14:22","","I uninstalled the Logitech G Hub application. 
In this step to remove leftover files however there were no entries, despite the userdata folder  `Appdata\Local\LGHUB` still being there. 
I assume that this is because the foldername is not identical to the program name?


The program installs in `C:\Program Files\LGHUB`. 
Userdata is in `Appdata\Local\LGHUB`. The userdata was not detected or removed 

System: Win 10 Pro 22H2
"
"447","Lots of apps not uninstallable, add an ""run as Admin always"" option?","open","junk/app detection; low priority","bug-like","manual triage from title/body","2023-02-12 19:59:46","2023-12-13 09:49:19","","1. This app is awesome! it is so needed, it allows automation and so many useful features, really nice!

But compared to Geek Uninstaller, it just doesnt work.

I think the problem is, that it doesnt run as root (Linux user, not much idea of Windows), but opens admin Powershell instances (or how the hell thats called) for every uninstall.

The result is, that many apps are not removable:
- Edge (Update works)
- other components

Can you just run the Program as admin? A feature to do that would be really good, even though of course it has security risks."
"465","How can i fix this?","open","cant-reproduce","bug-like","manual triage from title/body","2023-03-10 19:52:27","2023-03-30 20:43:35","","the display icon is for a game and installation location is from another game

how can i fix this?
![Untitled](https://user-images.githubusercontent.com/127548801/224414516-5304d51a-30db-4ec6-9c66-2a9f784fbc1d.jpg)
"
"468","Checkboxes on lists bug out and can't be toggled or don't update visually / ""No uninstallers were selected"" bug","open","bug","bug","upstream bug label","2023-03-12 18:43:02","2025-10-31 09:50:49","","Hello, i am very happy with this software but from time to time, when i try to uninstall a program, i get error that says there were no uninstallers selected.
![Untitled](https://user-images.githubusercontent.com/127688604/224565464-daa994f6-9d0e-4407-9001-92f66243ff73.jpg)
 Kind of annoying bug."
"475","BCU window opens but doesnt fully load","open","bug; cant-reproduce","bug","upstream bug label","2023-03-22 20:36:15","2023-05-21 20:50:17","","so up until recently BCU was working fine, now it just opens the program window but never resolves into a window that comes to the front. i installed the latest update but still same"
"488","ScriptHelper gets error 59 during deletion","open","bug","bug","upstream bug label","2023-05-13 17:44:00","2023-07-31 10:49:26","","ScriptHelper.log says System.UnauthorizedAccessExeption: Cannot write to the registry key"
"494","Out of memory.","open","cant-reproduce","bug-like","manual triage from title/body","2023-05-21 18:18:23","2023-05-22 07:48:51","","![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/34806112/8c2159c2-a366-4eeb-8679-bf1c43f24232)

I mean... i have enough gb free.. right?"
