"number","title","state","labels","created_at","updated_at","closed_at"
"86","After BCU blocks system reboot the uninstall progress window stops updating and uninstallers stop running","open","bug; low priority","2017-08-06 12:45:25","2023-10-10 20:32:06",""
"129","Feature request: delete used files on reboot","open","enhancement; low priority","2017-10-09 23:01:24","2021-05-06 04:27:37",""
"138","Proper detection of registry classes / AppID handling","open","enhancement; junk/app detection; low priority","2017-10-29 09:56:07","2021-05-06 04:27:38",""
"144","Remove Plug-ins & Extensions on Edge, Chrome, IE, Firefox, etc.","open","enhancement; junk/app detection; low priority","2017-11-22 17:31:06","2021-05-06 04:27:38",""
"162","Empty folder after official uninstaller completion is not detected as a leftover","open","junk/app detection; low priority","2018-01-07 18:36:46","2021-05-06 04:27:38",""
"182","Search FileExts for registry junk / Some uTorrent registry leftovers are missed at the leftovers search","open","junk/app detection; low priority","2018-05-05 22:25:23","2021-05-06 04:27:38",""
"183","Add easy/beginner mode","open","enhancement; low priority","2018-05-10 14:49:45","2021-05-06 04:27:38",""
"186","FR: Recognize Application Plug-Ins/Extensions/Add-Ons/Add-Ins","open","junk/app detection; low priority","2018-05-17 02:51:12","2021-05-06 04:27:38",""
"192","Enhancement: Default View","open","enhancement; low priority","2018-06-02 17:24:50","2021-05-06 04:26:50",""
"198","Inno Setup leftovers","open","junk/app detection; low priority","2018-06-27 23:39:17","2021-05-06 04:26:50",""
"200","Add lessThan/moreThan search options and allow to filter by date, size and rating (others?)","open","enhancement; low priority","2018-07-13 09:41:49","2021-05-06 04:26:50",""
"220","BCUnistaller can not be used in safe mode in windows","open","bug","2018-10-09 12:30:48","2023-03-04 20:31:48",""
"228","Dark ui mode?","open","enhancement","2019-01-13 13:57:59","2026-02-22 15:07:13",""
"255","add indonesian language","open","enhancement; help wanted","2020-03-10 20:10:50","2021-05-06 04:37:35",""
"268","appearance tweaks - honor windows font and color settings","open","enhancement","2020-07-19 00:44:03","2021-05-09 04:45:56",""
"314","BCU can't find eclipse ide for java","open","junk/app detection","2021-09-05 09:29:43","2022-02-07 16:29:39",""
"316","Does not calculate usage of wsl1 or wsl2 installs","open","junk/app detection","2021-09-20 13:00:31","2022-02-07 16:29:25",""
"323","Suggestions for New Features Not Available Elsewhere","open","enhancement; junk/app detection","2021-10-11 11:23:05","2021-10-11 11:23:05",""
"325","Doesn't detect Wave browser to uninstall","open","junk/app detection","2021-11-01 16:02:06","2022-02-07 16:26:59",""
"331","This app doesn't create a shortcut in context menu like Iobit Unistaller 😞 #FeatureRequest","open","enhancement","2021-11-30 13:22:15","2022-05-10 13:00:36",""
"338","New UI Design","open","enhancement; low priority","2022-01-22 15:27:13","2022-12-02 16:38:51",""
"348","Is it possible to add an ""Exclude scan paths"" setting?","open","enhancement; low priority","2022-02-11 07:26:10","2023-03-04 20:37:21",""
"388","why not remove persist scoop when uninstalling package","open","enhancement; junk/app detection","2022-07-05 20:36:34","2022-07-18 19:02:41",""
"405","[Feature Request] Font Family and Font Size Option to Change","open","","2022-08-23 22:29:25","2023-03-05 08:00:07",""
"414","Creating System Restore Point Leads to App Crash","open","cant-reproduce","2022-09-30 09:50:40","2023-03-04 15:05:59",""
"418","Add GOG Galaxy support / BC Uninstaller doesn't detect my games from GOG Galaxy","open","junk/app detection","2022-10-23 10:03:45","2023-10-01 14:39:36",""
"431","Add script for disabling network in S0 standby to fix battery drain","open","enhancement","2022-12-04 05:52:05","2022-12-04 05:52:05",""
"435","Not fully uninstalling windscribe desktop version","open","bug; cant-reproduce","2022-12-14 20:19:44","2023-03-03 20:13:34",""
"436","Interesting application relationship detection issue","open","bug; cant-reproduce","2022-12-27 14:07:38","2023-03-03 20:12:57",""
"443","VMWare uninstaller is only shown when you show protected elements","open","junk/app detection; cant-reproduce","2023-02-02 01:09:34","2023-10-01 14:34:50",""
"445","Logitech G Hub uninstallation does not detect leftover files","open","junk/app detection; low priority","2023-02-04 11:14:03","2023-03-04 20:14:22",""
"447","Lots of apps not uninstallable, add an ""run as Admin always"" option?","open","junk/app detection; low priority","2023-02-12 19:59:46","2023-12-13 09:49:19",""
"451","Oracle","open","cant-reproduce","2023-02-25 15:16:55","2023-03-21 00:03:58",""
"465","How can i fix this?","open","cant-reproduce","2023-03-10 19:52:27","2023-03-30 20:43:35",""
"468","Checkboxes on lists bug out and can't be toggled or don't update visually / ""No uninstallers were selected"" bug","open","bug","2023-03-12 18:43:02","2025-10-31 09:50:49",""
"475","BCU window opens but doesnt fully load","open","bug; cant-reproduce","2023-03-22 20:36:15","2023-05-21 20:50:17",""
"481","msg next step is ""scan residues""","open","enhancement","2023-04-07 09:36:07","2023-04-14 20:53:37",""
"488","ScriptHelper gets error 59 during deletion","open","bug","2023-05-13 17:44:00","2023-07-31 10:49:26",""
"493","Console feature request","open","enhancement; low priority","2023-05-21 15:12:38","2024-02-24 07:36:41",""
"494","Out of memory.","open","cant-reproduce","2023-05-21 18:18:23","2023-05-22 07:48:51",""
"495","BCUninstaller.dll: System.EntryPointNotFoundException error ","open","","2023-05-22 13:26:09","2023-06-14 10:38:38",""
"499","Incomplete removal","open","","2023-06-02 04:04:27","2023-06-14 10:44:23",""
"504","BEWARE Portable Apps Deleted","open","","2023-06-21 00:51:29","2023-06-25 17:46:15",""
"505","Icons are very small on a high-DPI screen with DPI aware mode enabled","open","bug","2023-06-24 20:09:35","2023-06-25 17:48:29",""
"506","[Feature Request] Batch create app shortcuts","open","","2023-07-01 09:37:41","2023-07-04 13:32:26",""
"509","It still can't recognize the correct name of the software.","open","","2023-07-07 15:38:29","2023-07-07 19:32:14",""
"514","Hunter mode does not support identifying desktop icons","open","enhancement","2023-07-13 05:24:48","2023-07-13 17:25:10",""
"520","Uninstaller name ""Update"" causes high confidence Leftover false positives","open","bug; junk/app detection","2023-07-14 17:09:13","2023-07-16 19:15:15",""
"532","[Feature] Search bar on homepage","open","enhancement; low priority","2023-08-07 12:03:05","2023-09-27 19:50:20",""
"534","Unable to delete registry","open","","2023-09-08 04:54:14","2023-09-27 19:40:05",""
"538","Uninstalling as admin leaves app links for users","open","","2023-09-22 07:52:48","2023-09-27 19:47:40",""
"540","Failed to delete some items","open","","2023-09-29 08:08:26","2023-10-01 14:43:57",""
"544","Update to .NET 7 or 8?","open","enhancement; low priority","2023-10-10 20:44:58","2024-05-20 20:15:45",""
"551","Forever Loading when starting both in standalone and protable ver.","open","","2023-11-07 05:04:09","2023-11-08 20:00:01",""
"552","Launch Error causing freezing, making program unusable: System.Text.Json.JsonException","open","","2023-11-07 11:02:32","2024-04-11 17:26:13",""
"556","Add option to auto-close the ""Uninstall progress"" window and proceed to next step","open","enhancement","2023-11-15 19:07:19","2023-11-15 19:07:19",""
"558","file picker in ""export data of selected uninstallers"" picks ""desktop"" from other ""user""","open","bug; low priority","2023-11-20 18:11:28","2023-12-07 13:41:03",""
"560","WindowsApps (Microsoft Store)","open","junk/app detection","2023-11-21 19:39:53","2023-12-13 09:41:19",""
"561","Leftovers still present on the system","open","junk/app detection","2023-11-22 15:17:46","2023-12-17 16:45:04",""
"566","Service detection and removal","open","","2023-12-03 11:43:48","2023-12-06 13:04:02",""
"567","[Feature request] Remember window/column sizes","open","enhancement","2023-12-03 11:50:17","2023-12-06 12:38:45",""
"568","[Feature request] Duplicate app finder/filter","open","enhancement","2023-12-03 12:10:01","2025-06-12 13:00:41",""
"571","Cant deinstall IOBIT Uninstaller","open","","2023-12-07 08:06:51","2023-12-07 13:37:17",""
"572","Can you provide a Traditional Chinese interface?","open","enhancement","2023-12-17 06:53:57","2024-02-23 16:25:48",""
"576","Autodesk Products stuck on user prompt.","open","automatization","2024-01-11 11:02:18","2024-02-23 16:26:18",""
"579","Missing/Broken Msiexec Circumventing CPU Stall Checks","open","bug; automatization","2024-01-23 19:24:28","2024-02-23 16:25:17",""
"584","Error due to deleted windows defender folders","open","cant-reproduce","2024-02-13 08:50:07","2024-05-25 08:37:19",""
